Date,Strategy,Bitcoin
6/11/20,10250.2,12979.04
6/12/20,10243.56,13237.39
6/13/20,10243,13248.87
6/14/20,10242.44,13065.33
6/15/20,10241.87,13182.69
6/16/20,10241.31,13321.94
6/17/20,10240.75,13237.4
6/18/20,10240.19,13127.17
6/19/20,10239.63,13020.75
6/20/20,10239.07,13088.89
6/21/20,10238.51,12999.02
6/22/20,10237.95,13545.85
6/23/20,10232.19,13460.82
6/24/20,10031.16,13001.54
6/25/20,9982.55,12935.81
6/26/20,9982,12813.74
6/27/20,9981.45,12603.67
6/28/20,9980.91,12749.6
6/29/20,9980.36,12856.19
6/30/20,9979.81,12780.65
7/1/20,9979.26,12911.35
7/2/20,9978.72,12707.91
7/3/20,9978.17,12668.36
7/4/20,9977.62,12776.33
7/5/20,9977.08,12683.96
7/6/20,9976.53,13068.26
7/7/20,9950.76,12946.86
7/8/20,10126.98,13196.73
7/9/20,9978.61,12911.95
7/10/20,9988.91,12990.14
7/11/20,9938,12914.19
7/12/20,10015.45,13010.29
7/13/20,9944.88,12926.2
7/14/20,9962.9,12944.7
7/15/20,9913.91,12863.24
7/16/20,9816.39,12773.9
7/17/20,9803.56,12802.71
7/18/20,9803.03,12825.03
7/19/20,9802.49,12879.17
7/20/20,9801.95,12811.74
7/21/20,9801.42,13132.32
7/22/20,10306.99,13311.55
7/23/20,10622.51,13430.58
7/24/20,10725.87,13339.02
7/25/20,11427.23,13566.45
7/26/20,11576.95,13889.68
7/27/20,11861.01,15425.87
7/28/20,11727.33,15252.88
7/29/20,11751.04,15524.57
7/30/20,12194.51,15523.28
7/31/20,12485.86,15853.13
8/1/20,13511.16,16504.44
8/2/20,13154.22,15483.76
8/3/20,13487.67,15691.38
8/4/20,13576.68,15652.45
8/5/20,13846.85,16425.76
8/6/20,13702.22,16450.3
8/7/20,13326.69,16215.03
8/8/20,13760.85,16448.83
8/9/20,13592.98,16337.33
8/10/20,13721.46,16632.76
8/11/20,13321.51,15932.31
8/12/20,13521.98,16173.21
8/13/20,14434.28,16474.83
8/14/20,14756.36,16447.62
8/15/20,14619.08,16576.09
8/16/20,14649.04,16658.04
8/17/20,14583.7,17175.68
8/18/20,14371.15,16705.61
8/19/20,14025.01,16439.3
8/20/20,14228.5,16577.7
8/21/20,13558.16,16127.07
8/22/20,13735.2,16311.15
8/23/20,13624.29,16290.41
8/24/20,14037.64,16430.36
8/25/20,13440.5,15829.29
8/26/20,13416.61,16029.3
8/27/20,13415.87,15846.02
8/28/20,13415.14,16120.88
8/29/20,13414.4,16035.47
8/30/20,13413.67,16378.56
8/31/20,13523.48,16292.34
9/1/20,14430.46,16673.38
9/2/20,13667.11,15927.36
9/3/20,12402.09,14182.41
9/4/20,12489.23,14609.53
9/5/20,11348.71,14218.55
9/6/20,11769.75,14343.73
9/7/20,11787.54,14507.7
9/8/20,11409.02,14162.55
9/9/20,11726.86,14291.99
9/10/20,12125.67,14456.55
9/11/20,12256.44,14527.91
